TemperatureK,PointCount,Lambda,R_inf,MeanAbsResidual,RMSE,RID,CVReal,CVImag,CVTotal,ResampleVariance,Score,IsResidualBest,IsPaperBest
104.550000,198,2.51188643e-02,64.94521338,97.16591391,213.29802435,1.51254624e+04,7.76379949e+03,4.65973857e+04,5.43611852e+04,4.52693836e+02,0.13044070,0,0
104.550000,198,5.01187234e-02,59.73377444,112.75649227,218.67867314,9.60926883e+03,1.54519734e+04,4.91246135e+04,6.45765869e+04,8.44993767e+02,0.35819679,0,0
104.550000,198,1.00000000e-01,55.43664067,133.40116482,228.48699392,7.21431149e+03,3.94590247e+04,5.34905999e+04,9.29496246e+04,1.85627512e+02,1.00000000,0,0
180.090000,198,1.00000000e-04,94.41765308,86.82995976,210.29618322,1.23795616e+06,7.00873629e+03,4.69920047e+04,5.40007410e+04,1.00485205e+05,2.01673508,1,0
180.090000,198,1.99526231e-04,93.74979165,86.89596411,210.37292936,8.26488436e+05,7.01515164e+03,4.68810491e+04,5.38962007e+04,3.91018994e+04,1.06492424,0,0
180.090000,198,3.98107171e-04,92.99752539,87.11099693,210.50064400,5.29118538e+05,7.05695584e+03,4.67795602e+04,5.38365160e+04,2.56180309e+04,0.68519864,0,0
180.090000,198,7.94328235e-04,92.22506949,87.50033362,210.68116205,3.20060206e+05,7.10772619e+03,4.66568199e+04,5.37645461e+04,6.74730479e+03,0.32346755,0,0
180.090000,198,1.58489319e-03,91.40857925,88.02593042,210.91133252,1.86313045e+05,7.17397305e+03,4.65057783e+04,5.36797514e+04,7.27216475e+03,0.21587414,0,0
180.090000,198,3.16227766e-03,90.36289165,88.63815542,211.20190106,1.07494324e+05,7.29578308e+03,4.63049008e+04,5.36006839e+04,4.37095910e+03,0.11928020,0,0
180.090000,198,6.30957344e-03,88.73006774,89.44818626,211.62850314,6.58608709e+04,7.59163449e+03,4.60898573e+04,5.36814918e+04,1.41712366e+03,0.05923081,0,1
180.090000,198,1.25892541e-02,86.14889484,91.01738523,212.43418571,4.27629398e+04,8.30587165e+03,4.59948347e+04,5.43007063e+04,1.19602799e+03,0.06406065,0,0
180.090000,198,2.51188643e-02,82.65871815,94.35635514,214.02204633,2.98139051e+04,1.00478764e+04,4.62882776e+04,5.63361540e+04,6.20150784e+02,0.13289276,0,0
180.090000,198,5.01187234e-02,78.91167052,102.12067855,217.02084044,2.02380685e+04,1.45692557e+04,4.74568545e+04,6.20261103e+04,3.00002987e+02,0.35990180,0,0
180.090000,198,1.00000000e-01,76.15128208,114.96170556,222.41782166,1.39827567e+04,2.78556969e+04,4.96502886e+04,7.75059855e+04,6.49173333e+01,1.00000000,0,0
199.600000,198,1.00000000e-04,90.03883950,107.27318768,218.64403418,7.84059066e+05,1.28283623e+04,4.91496295e+04,6.19779917e+04,8.98809474e+04,2.04700496,1,0
199.600000,198,1.99526231e-04,90.01508295,107.29869158,218.66750577,4.47503231e+05,1.28091160e+04,4.90770020e+04,6.18861180e+04,4.75678902e+04,1.13656653,0,0
199.600000,198,3.98107171e-04,89.90818335,107.34139886,218.69381822,2.63641016e+05,1.27650629e+04,4.89619668e+04,6.17270297e+04,1.87420429e+04,0.57226193,0,0
199.600000,198,7.94328235e-04,89.50488625,107.44572694,218.73144526,1.62953638e+05,1.26899858e+04,4.87686863e+04,6.14586721e+04,1.26549617e+04,0.36601147,0,0
199.600000,198,1.58489319e-03,88.71050582,107.68254944,218.79525260,1.11982506e+05,1.24762115e+04,4.85318473e+04,6.10080589e+04,7.14328688e+03,0.22512547,0,0
199.600000,198,3.16227766e-03,86.99810513,108.25047023,218.95266435,7.93477084e+04,1.22709566e+04,4.82905225e+04,6.05614791e+04,4.05316765e+03,0.13510980,0,0
199.600000,198,6.30957344e-03,84.26726527,109.49772558,219.35255458,5.64326309e+04,1.22768829e+04,4.81222153e+04,6.03990982e+04,1.74930339e+03,0.07490942,0,0
199.600000,198,1.25892541e-02,80.32841026,112.04642771,220.26992212,4.03947279e+04,1.29244622e+04,4.82078734e+04,6.11323356e+04,1.08832076e+03,0.06860045,0,1
199.600000,198,2.51188643e-02,75.44527054,117.36063151,222.18773079,2.74867715e+04,1.51285130e+04,4.90876207e+04,6.42161337e+04,6.00920413e+02,0.13825829,0,0
199.600000,198,5.01187234e-02,70.11577945,127.28070647,225.76643332,1.74543330e+04,2.13477970e+04,5.11041445e+04,7.24519415e+04,3.87898110e+02,0.36807915,0,0
199.600000,198,1.00000000e-01,65.72925775,141.63698683,232.21811463,1.17401851e+04,3.93381982e+04,5.46508349e+04,9.39890332e+04,2.21364991e+02,1.00000000,0,0
209.570000,198,1.00000000e-04,78.24905158,127.41263751,228.21990556,4.07082540e+06,2.10589020e+04,4.94783278e+04,7.05372298e+04,9.92925629e+04,2.00883177,1,0
209.570000,198,1.99526231e-04,77.63895367,127.65861526,228.36290094,2.53435615e+06,2.11767250e+04,4.94056750e+04,7.05824000e+04,3.10328983e+04,0.94509814,0,0
209.570000,198,3.98107171e-04,77.02660849,128.02860104,228.55914543,1.51220890e+06,2.12820812e+04,4.93300577e+04,7.06121389e+04,2.45084749e+04,0.62948128,0,0
209.570000,198,7.94328235e-04,76.41049370,128.57229289,228.83694800,8.31971380e+05,2.13727876e+04,4.92353770e+04,7.06081645e+04,1.70818573e+04,0.38622486,0,0
209.570000,198,1.58489319e-03,75.64424792,129.18259248,229.17400786,4.33491522e+05,2.14638146e+04,4.90899784e+04,7.05537930e+04,2.77396151e+03,0.13870314,0,0
209.570000,198,3.16227766e-03,74.34121628,129.80673674,229.58628325,2.34877070e+05,2.15799907e+04,4.88946799e+04,7.04746706e+04,3.70577907e+03,0.09200390,0,0
209.570000,198,6.30957344e-03,72.07275692,130.69219538,230.21372470,1.35342839e+05,2.17201808e+04,4.87177185e+04,7.04378992e+04,1.57188216e+03,0.04263364,0,0
209.570000,198,1.25892541e-02,68.61089579,132.62617514,231.39072844,8.44710560e+04,2.18620818e+04,4.87359487e+04,7.05980304e+04,5.44541061e+02,0.03394745,0,1
209.570000,198,2.51188643e-02,64.31472639,137.00244709,233.49409420,5.40865495e+04,2.19936079e+04,4.94953690e+04,7.14889770e+04,3.39805694e+02,0.10359462,0,0
209.570000,198,5.01187234e-02,59.74766885,145.59575789,237.06435221,3.43684232e+04,2.28427154e+04,5.09067708e+04,7.37494862e+04,1.11082307e+02,0.29740639,0,0
209.570000,198,1.00000000e-01,56.28304807,157.76221781,242.97489820,2.23703349e+04,2.84993431e+04,5.31855192e+04,8.16848623e+04,1.41176003e+02,1.00030342,0,0
239.940000,198,1.00000000e-04,98.91100980,67.65502282,205.10525309,8.22935594e+05,5.22841121e+03,4.52855408e+04,5.05139520e+04,4.78962069e+04,2.04077775,1,0
239.940000,198,1.99526231e-04,98.37014484,67.83212958,205.14026584,4.94785107e+05,5.21376426e+03,4.52016459e+04,5.04154102e+04,2.81449451e+04,1.21888658,0,0
239.940000,198,3.98107171e-04,97.74469956,68.19417987,205.19443503,2.91431123e+05,5.20072200e+03,4.51079178e+04,5.03086398e+04,1.41791785e+04,0.67090603,0,0
239.940000,198,7.94328235e-04,97.02655758,68.74466230,205.27237777,1.71467627e+05,5.18709182e+03,4.49949788e+04,5.01820706e+04,7.51282565e+03,0.37696361,0,0
239.940000,198,1.58489319e-03,96.17675891,69.41597259,205.37368715,1.02643162e+05,5.16440492e+03,4.48533522e+04,5.00177571e+04,5.43367535e+03,0.23969412,0,0
239.940000,198,3.16227766e-03,95.07998095,70.15368687,205.50135029,6.35034993e+04,5.15917303e+03,4.46835577e+04,4.98427307e+04,2.03056149e+03,0.11061688,0,0
239.940000,198,6.30957344e-03,93.53406379,71.06203472,205.68846851,4.12773752e+04,5.25858169e+03,4.45272234e+04,4.97858051e+04,1.06715914e+03,0.05996468,0,0
239.940000,198,1.25892541e-02,91.37063126,72.74655305,206.05915656,2.68826718e+04,5.64939660e+03,4.45174350e+04,5.01668316e+04,3.37069888e+02,0.04834291,0,1
239.940000,198,2.51188643e-02,88.67941164,75.88389074,206.87264121,1.86519204e+04,6.83641122e+03,4.49182287e+04,5.17546399e+04,2.21531287e+02,0.12473169,0,0
239.940000,198,5.01187234e-02,85.75956716,81.77529111,208.58447905,1.29752933e+04,1.01152195e+04,4.59904251e+04,5.61056446e+04,1.02092030e+02,0.35892263,0,0
239.940000,198,1.00000000e-01,83.77489870,92.15708113,211.92664625,9.25082717e+03,1.96109151e+04,4.80313659e+04,6.76422810e+04,8.19568930e+01,1.00000000,0,0
