TemperatureK,PointIndex,Tau_s
84.520000,87,2.249078254073e-05
84.520000,88,2.105554709343e-05
84.520000,89,1.971189975840e-05
84.520000,90,1.845399654793e-05
84.520000,91,1.727636573130e-05
84.520000,92,1.617388506217e-05
84.520000,93,1.514175804402e-05
84.520000,94,1.417549610619e-05
84.520000,95,1.327089547386e-05
84.520000,96,1.242402129948e-05
84.520000,97,1.163118975972e-05
84.520000,98,1.088895316944e-05
84.520000,99,1.019408075638e-05
84.520000,100,9.543551939859e-06
84.520000,101,8.934535834089e-06
84.520000,102,8.364383762295e-06
84.520000,103,7.830615930373e-06
84.520000,104,7.330909660107e-06
84.520000,105,6.863092186551e-06
84.520000,106,6.425128228775e-06
84.520000,107,6.015112452158e-06
84.520000,108,5.631261752374e-06
84.520000,109,5.271906071626e-06
84.520000,110,4.935482642398e-06
84.520000,111,4.620527770452e-06
84.520000,112,4.325671649181e-06
84.520000,113,4.049631574916e-06
84.520000,114,3.791206757631e-06
84.520000,115,3.549273188559e-06
84.520000,116,3.322778501714e-06
84.520000,117,3.110737386472e-06
84.520000,118,2.912227566817e-06
84.520000,119,2.726385550847e-06
84.520000,120,2.552402910337e-06
84.520000,121,2.389522841926e-06
84.520000,122,2.237036898084e-06
84.520000,123,2.094281742188e-06
84.520000,124,1.960636436352e-06
84.520000,125,1.835519612738e-06
84.520000,126,1.718387031686e-06
84.520000,127,1.608729211037e-06
84.520000,128,1.506069133759e-06
84.520000,129,1.409960242410e-06
84.520000,130,1.319984482573e-06
84.520000,131,1.235750473864e-06
84.520000,132,1.156891805808e-06
84.520000,133,1.083065458531e-06
84.520000,134,1.013950293731e-06
84.520000,135,9.492456704016e-07
84.520000,136,8.886701326418e-07
84.520000,137,8.319601873591e-07
84.520000,138,7.788691540701e-07
84.520000,139,7.291660928748e-07
84.520000,140,6.826347998415e-07
84.520000,141,6.390728740449e-07
84.520000,142,5.982908258250e-07
84.520000,143,5.601112604797e-07
84.520000,144,5.243681001920e-07
84.520000,145,4.909058682761e-07
84.520000,146,4.595790078981e-07
84.520000,147,4.302512516331e-07
84.520000,148,4.027950294878e-07
84.520000,149,3.770909091053e-07
84.520000,150,3.530270812424e-07
84.520000,151,3.304988723182e-07
84.520000,152,3.094082871155e-07
84.520000,153,2.896635850814e-07
84.520000,154,2.711788792743e-07
84.520000,155,2.538737633534e-07
84.520000,156,2.376729632802e-07
84.520000,157,2.225060073000e-07
84.520000,158,2.083069213533e-07
84.520000,159,1.950139414732e-07
84.520000,160,1.825692452276e-07
84.520000,161,1.709186994713e-07
84.520000,162,1.600116262977e-07
84.520000,163,1.498005813738e-07
84.520000,164,1.402411481500e-07
84.520000,165,1.312917443361e-07
84.520000,166,1.229134416150e-07
84.520000,167,1.150697946159e-07
84.520000,168,1.077266855553e-07
84.520000,169,1.008521722277e-07
84.520000,170,9.441635242801e-08
84.520000,171,8.839123026718e-08
84.520000,172,8.275059740509e-08
84.520000,173,7.746991829993e-08
84.520000,174,7.252622235569e-08
84.520000,175,6.789800532602e-08
84.520000,176,6.356513549857e-08
84.520000,177,5.950876484793e-08
84.520000,178,5.571124905887e-08
84.520000,179,5.215606956802e-08
84.520000,180,4.882776164882e-08
84.520000,181,4.571184762963e-08
84.520000,182,4.279477377465e-08
84.520000,183,4.006385123461e-08
84.520000,184,3.750720087420e-08
84.520000,185,3.511370158237e-08
84.520000,186,3.287294207949e-08
84.520000,187,3.077517520390e-08
84.520000,188,2.881127606568e-08
84.520000,189,2.697270195533e-08
84.520000,190,2.525145532784e-08
84.520000,191,2.364004902277e-08
84.520000,192,2.213147365069e-08
84.520000,193,2.071916708238e-08
84.520000,194,1.939698600697e-08
84.520000,195,1.815917910371e-08
84.520000,196,1.700036209720e-08
84.520000,197,1.591549430919e-08
84.520000,198,1.591549430919e-08
94.520000,1,6.529433562744e-03
94.520000,2,6.112879977412e-03
94.520000,3,5.722733561968e-03
94.520000,4,5.357489584673e-03
94.520000,5,5.015597601535e-03
94.520000,6,4.695528635253e-03
94.520000,7,4.395938215492e-03
94.520000,8,4.115402039974e-03
94.520000,9,3.852790992082e-03
94.520000,10,3.606910891601e-03
94.520000,11,3.376719985825e-03
94.520000,12,3.161223197313e-03
94.520000,13,2.959535546644e-03
94.520000,14,2.770658619708e-03
94.520000,15,2.593832088070e-03
94.520000,16,2.428326438289e-03
94.520000,17,2.273349756344e-03
94.520000,18,2.128280486914e-03
94.520000,19,1.992475313502e-03
94.520000,20,1.865322868299e-03
94.520000,21,1.746288011629e-03
94.520000,22,1.634839993959e-03
94.520000,23,1.530527307182e-03
94.520000,24,1.432847267564e-03
94.520000,25,1.341415653931e-03
94.520000,26,1.255808916968e-03
94.520000,27,1.175677151957e-03
